day,num,c0,c1,c2,c3,c4,c5,c6,c7
2021-12-10,21142,9,3,2,0,4,1,1,3
2021-12-07,21141,5,4,0,4,7,0,0,3
2021-12-05,21140,6,9,8,2,7,1,0,7
2021-12-03,21139,3,2,8,3,0,6,0,4
2021-11-30,21138,7,2,3,6,6,6,9,9
2021-11-28,21137,1,5,6,4,6,2,3,1
2021-11-26,21136,7,5,3,2,7,0,5,2
2021-11-23,21135,5,4,3,6,2,3,3,9
2021-11-21,21134,4,2,8,1,3,9,2,8
2021-11-19,21133,1,0,2,7,2,5,1,1
2021-11-16,21132,8,1,0,6,1,2,0,6
2021-11-14,21131,6,1,2,4,9,9,2,6
2021-11-12,21130,0,1,1,5,3,4,5,6
2021-11-09,21129,3,1,8,3,1,1,7,7
2021-11-07,21128,8,7,6,4,1,0,5,9
2021-11-05,21127,6,2,3,2,9,3,4,0
2021-11-02,21126,2,7,8,6,1,9,8,2
2021-10-31,21125,4,0,6,5,3,7,7,1
2021-10-29,21124,4,7,2,4,1,1,3,2
2021-10-26,21123,8,2,4,2,0,0,7,0
2021-10-24,21122,3,6,8,8,1,6,8,3
2021-10-22,21121,6,5,9,5,7,0,2,8
2021-10-19,21120,7,3,4,3,7,8,1,0
2021-10-17,21119,9,5,6,2,6,8,9,4
2021-10-15,21118,4,8,2,1,3,7,6,0
2021-10-12,21117,2,6,9,6,1,7,9,9
2021-10-10,21116,7,7,7,0,3,4,0,7
2021-10-08,21115,3,5,3,7,8,0,6,1
2021-10-05,21114,3,8,4,0,1,8,7,4
2021-09-28,21113,9,0,5,4,0,1,8,5
2021-09-26,21112,7,1,0,2,4,6,6,6
2021-09-24,21111,8,1,9,9,9,0,5,5
2021-09-21,21110,3,7,1,9,6,4,9,7
2021-09-19,21109,4,4,3,0,7,9,4,3
2021-09-17,21108,1,4,7,0,0,8,7,8
2021-09-14,21107,6,3,9,3,1,9,2,0
2021-09-12,21106,0,4,7,9,0,2,8,5
2021-09-10,21105,1,3,8,2,8,1,3,2
2021-09-07,21104,1,0,1,8,2,5,7,9
2021-09-05,21103,5,5,5,6,9,9,8,3
2021-09-03,21102,2,1,1,6,4,7,6,4
2021-08-31,21101,0,8,1,5,6,0,8,0
2021-08-29,21100,0,0,2,3,5,5,9,4
2021-08-27,21099,7,4,0,0,3,7,8,7
2021-08-24,21098,5,1,0,7,7,9,6,5
2021-08-22,21097,4,0,5,5,4,4,5,0
2021-08-20,21096,6,6,0,5,5,9,3,3
2021-08-17,21095,2,4,6,5,7,6,7,6
2021-08-15,21094,8,4,8,1,5,7,1,1
2021-08-13,21093,5,7,5,6,7,3,9,8
2021-08-10,21092,4,9,9,7,9,1,2,4
2021-08-08,21091,7,8,6,9,4,7,3,5
2021-08-06,21090,3,2,6,8,7,0,4,6
2021-08-03,21089,5,3,8,5,9,8,3,0
2021-08-01,21088,7,9,7,5,6,2,5,5
2021-07-30,21087,0,3,6,2,9,8,8,3
2021-07-27,21086,5,1,1,9,4,2,0,0
2021-07-25,21085,7,0,3,5,9,3,2,7
2021-07-23,21084,4,4,3,1,6,6,7,0
2021-07-20,21083,9,9,8,8,4,7,9,3
2021-07-18,21082,7,4,7,5,1,3,5,5
2021-07-16,21081,7,5,2,7,3,0,3,4
2021-07-13,21080,9,7,2,2,8,2,4,7
2021-07-11,21079,9,1,1,2,5,0,8,1
2021-07-09,21078,3,0,7,3,3,1,8,7
2021-07-06,21077,7,1,2,8,6,2,6,1
2021-07-04,21076,3,8,1,6,8,0,0,3
2021-07-02,21075,9,1,9,5,4,2,7,0
2021-06-29,21074,1,2,0,7,2,1,5,2
2021-06-27,21073,0,3,5,9,3,3,4,5
2021-06-25,21072,9,2,5,4,8,7,5,1
2021-06-22,21071,3,7,6,3,7,5,3,1
2021-06-20,21070,8,2,0,3,3,6,9,1
2021-06-18,21069,0,2,5,4,9,5,3,2
2021-06-15,21068,8,8,8,4,8,5,1,4
2021-06-13,21067,3,7,0,8,8,8,1,3
2021-06-11,21066,5,5,9,1,0,4,4,2
2021-06-08,21065,9,8,7,4,0,8,6,0
2021-06-06,21064,9,2,0,2,5,5,5,3
2021-06-04,21063,6,9,5,4,8,2,9,3
2021-06-01,21062,6,8,6,1,1,8,7,2
2021-05-30,21061,9,4,5,4,6,0,2,8
2021-05-28,21060,5,6,0,4,5,8,4,7
2021-05-25,21059,9,8,9,6,6,6,2,4
2021-05-23,21058,7,4,1,5,7,1,4,2
2021-05-21,21057,6,8,6,1,1,5,2,7
2021-05-18,21056,2,3,8,1,0,0,3,1
2021-05-16,21055,8,5,1,8,4,7,3,4
2021-05-14,21054,5,4,9,6,6,4,9,4
2021-05-11,21053,4,1,4,3,6,4,6,1
2021-05-09,21052,8,7,3,3,5,5,8,4
2021-05-07,21051,0,4,6,0,0,3,9,4
2021-05-04,21050,3,3,1,9,0,3,0,2
2021-05-02,21049,5,3,4,4,4,0,5,4
2021-04-30,21048,0,2,3,9,6,2,1,5
2021-04-27,21047,4,4,0,1,9,8,3,3
2021-04-25,21046,6,9,3,5,9,5,3,4
2021-04-23,21045,8,2,6,0,0,2,8,4
2021-04-20,21044,7,0,4,4,9,6,3,5
2021-04-18,21043,2,4,6,0,2,1,3,5
2021-04-16,21042,9,1,9,6,3,9,7,2
2021-04-13,21041,5,7,2,8,8,9,0,4
2021-04-11,21040,5,4,9,3,9,5,0,2
2021-04-09,21039,9,0,7,0,2,8,4,4
2021-04-06,21038,5,1,5,8,1,4,1,1
2021-04-04,21037,6,7,8,1,0,0,2,3
2021-04-02,21036,7,2,3,3,9,5,1,2
2021-03-30,21035,5,1,3,6,5,7,8,4
2021-03-28,21034,3,3,5,2,3,1,1,3
2021-03-26,21033,5,0,7,6,2,3,7,9
2021-03-23,21032,6,4,5,2,5,2,0,0
2021-03-21,21031,8,8,6,8,6,1,7,1
2021-03-19,21030,3,0,2,9,2,6,3,0
2021-03-16,21029,8,5,5,4,4,0,8,6
2021-03-14,21028,1,9,3,5,4,4,4,6
2021-03-12,21027,5,9,3,7,6,3,2,0
2021-03-09,21026,3,3,9,9,2,1,7,4
2021-03-07,21025,7,4,4,1,8,0,0,0
2021-03-05,21024,7,5,6,5,1,7,2,3
2021-03-02,21023,8,9,3,9,7,9,2,4
2021-02-28,21022,6,0,2,5,9,2,6,0
2021-02-26,21021,9,2,8,5,4,8,5,8
2021-02-23,21020,2,9,9,4,0,0,3,4
2021-02-21,21019,8,4,5,9,0,8,2,6
2021-02-19,21018,5,7,9,2,7,8,0,1
2021-02-07,21017,9,5,2,2,0,7,9,1
2021-02-05,21016,3,7,5,2,9,1,8,4
2021-02-02,21015,5,7,7,6,5,4,8,1
2021-01-31,21014,2,7,7,1,7,6,2,1
2021-01-29,21013,5,6,7,2,0,4,4,9
2021-01-26,21012,0,0,3,7,0,1,1,9
2021-01-24,21011,2,5,6,5,6,3,0,4
2021-01-22,21010,8,4,8,1,5,5,7,6
2021-01-19,21009,5,9,7,9,0,8,8,5
2021-01-17,21008,6,5,0,7,4,3,7,4
2021-01-15,21007,0,1,8,2,9,0,1,2
2021-01-12,21006,6,2,3,9,2,5,4,3
2021-01-10,21005,7,0,9,5,3,7,0,0
2021-01-08,21004,5,0,0,7,8,4,9,1
2021-01-05,21003,1,9,7,2,3,8,1,4
2021-01-03,21002,4,7,0,7,0,7,8,8
2021-01-01,21001,8,5,2,1,0,3,5,3
2020-12-29,20133,4,1,9,5,9,0,2,2
2020-12-27,20132,1,5,5,2,9,7,9,6
2020-12-25,20131,3,8,5,0,0,3,8,9
2020-12-22,20130,5,5,3,9,8,0,6,4
2020-12-20,20129,7,7,8,3,9,1,8,5
2020-12-18,20128,2,4,2,9,7,1,8,1
